latitude	longitude	mag
34.1135	-117.4385	2.5
33.343	-116.3908	2.3
38.8408	-122.8262	2.9
38.8308	-122.809	2.7
45.0643	-123.0828	2.1
39.8932	-120.8408	3.1
31.8075	-116.041	2.7
36.9057	-121.4947	2.2
40.2247	-121.1672	2.2
36.5868	-121.1902	2.3
36.0148	-117.5362	2.2
40.4415	-124.4983	2
38.8352	-122.7723	2.2
37.5222	-118.8277	2.7
40.2395	-120.3173	2.1
37.2651	-117.5799	3.07
38.3217	-113.071	2.4
34.6107	-120.6955	2.4
37.3873	-121.7362	2.5
33.2628	-116.0045	2.1
36.0492	-120.1918	2.1
32.2155	-115.2418	3
32.2417	-115.2493	2.8
38.8383	-122.8357	2.2
39.3064	-119.9897	2.08
32.2015	-115.1967	3.8
42.0067	-112.6255	2.2
38.7463	-122.721	2
38.7457	-122.7285	2.4
38.7487	-122.7197	2.2
38.7448	-122.7223	3.3
38.3243	-113.0675	2.3
36.7563	-121.3867	2
40.297	-124.507	3
39.3083	-119.9862	2.18
39.3083	-119.9894	2.01
35.9988	-115.8442	2.5
43.0477	-120.7992	2.1
41.972	-112.031	2
32.268	-115.2898	2.2
38.867	-122.9765	2.4
37.3423	-113.1665	2.4
38.9607	-111.4178	2
36.3805	-120.9585	2.4
40.5758	-124.5415	2.7
33.3618	-116.7602	2.3
40.7775	-123.7095	2
40.3938	-123.8345	2.1
39.7397	-123.5527	2.9
37.2918	-120.0268	2.3
38.8087	-122.81	2.6
40.298	-124.3792	2.4
37.0573	-116.0913	3.09
40.1927	-121.0415	2.2
36.1287	-120.2183	2.7
35.9437	-119.9208	2
37.0973	-119.47	2.5
37.4715	-118.8437	2.5
37.4703	-118.8438	3.2
37.4712	-118.8435	2.7
37.4713	-118.8433	3.2
43.2	-110.92	2.5
40.2408	-124.1675	2.1
33.0612	-115.581	2
39.3993	-123.267	2.1
38.8085	-122.8133	2
32.1977	-115.2495	3.1
40.4382	-124.3073	2
38.8205	-122.8225	2.4
36.5073	-121.0728	2.7
38.8357	-122.8093	2
38.8152	-122.8152	2
36.565	-121.1585	2.1
40.1858	-121.057	2.3
37.6863	-119.3933	2.5
32.4112	-115.551	2.3
32.4123	-115.5503	2.6
32.4078	-115.5478	2.6
32.9495	-115.5333	2.2
32.949	-115.5352	2
39.5555	-122.978	2
37.5128	-118.834	3.1
37.531	-118.8252	3.8
30.0798	-113.5066	4.7
33.571	-118.2972	2.2
33.5752	-118.3193	2.4
37.9058	-112.484	2.3
37.688	-119.395	2.2
37.7872	-121.9167	2.9
40.3923	-125.6323	2.4
40.9857	-123.3613	2.3
33.9658	-116.3705	2
38.7917	-122.757	2.1
33.6787	-116.7932	2.2
32.3857	-115.1632	3.7
39.3999	-119.5535	2.14
32.175	-115.2757	2.3
39.4005	-119.5533	2.26
38.9628	-111.4122	2.2
36.3077	-120.8717	2
35.0975	-117.1497	2
40.7408	-124.955	2.7
39.3978	-123.2703	3.1
37.2299	-116.8785	2.82
40.1635	-123.1647	2
42.9573	-111.0194	3.3
42.9602	-111.0168	2.7
36.8257	-121.3802	2.1
33.3102	-116.3947	2.5
